epoch,train_loss,train_acc,val_loss,val_acc
1,2.301359,11.034,2.299385,11.35
2,2.225509,18.462,2.045735,16.52
3,1.182742,59.316,0.41898,86.03
4,0.34576,89.178,0.159433,95.34
5,0.185452,94.386,0.150165,94.84
6,0.134531,95.878,0.107066,96.53
7,0.110833,96.562,0.081619,97.32
8,0.094667,97.116,0.063475,98.0
9,0.084711,97.264,0.061201,97.93
10,0.078023,97.604,0.052417,98.2
11,0.070375,97.748,0.058078,98.13
12,0.065432,97.964,0.053443,98.21
13,0.061784,98.11,0.061951,97.84
14,0.058604,98.188,0.038809,98.71
15,0.054327,98.312,0.082356,97.38
16,0.052122,98.344,0.045696,98.54
17,0.049584,98.482,0.040892,98.66
18,0.045604,98.54,0.037742,98.71
19,0.042987,98.648,0.035835,98.69
20,0.04225,98.634,0.035755,98.81
