epoch,train_loss,train_acc,val_loss,val_acc
1,1.002613,77.8,0.264283,95.65
2,0.150992,96.972,0.084543,97.93
3,0.082067,97.77,0.072016,97.82
4,0.061377,98.164,0.152979,94.88
5,0.053885,98.398,0.037953,98.85
6,0.046861,98.588,0.041678,98.79
7,0.03985,98.758,0.040114,98.67
8,0.037998,98.794,0.030426,99.07
9,0.034642,98.946,0.030205,99.12
10,0.031725,99.044,0.027328,99.13
11,0.030886,99.03,0.022234,99.31
12,0.027177,99.138,0.02423,99.22
13,0.025921,99.222,0.02071,99.23
14,0.022385,99.308,0.021835,99.33
15,0.020159,99.384,0.018492,99.38
16,0.01886,99.43,0.016209,99.44
17,0.017296,99.462,0.016114,99.47
18,0.015122,99.586,0.015402,99.51
19,0.015074,99.56,0.015666,99.48
20,0.014718,99.576,0.015713,99.49
