epoch,train_loss,train_acc,val_loss,val_acc
1,0.422019,90.034,0.182528,94.24
2,0.077478,97.858,0.083733,97.37
3,0.055482,98.37,0.057289,98.23
4,0.045217,98.654,0.047732,98.56
5,0.040395,98.728,0.038584,98.75
6,0.031495,99.052,0.028201,99.13
7,0.030108,99.042,0.025461,99.24
8,0.029308,99.106,0.026289,99.13
9,0.026951,99.134,0.027119,99.07
10,0.027268,99.174,0.028709,99.06
11,0.021801,99.336,0.019051,99.56
12,0.020483,99.344,0.023109,99.29
13,0.021087,99.36,0.020369,99.33
14,0.019702,99.41,0.019195,99.29
15,0.019418,99.41,0.018253,99.38
16,0.016331,99.512,0.01703,99.42
17,0.016066,99.492,0.020745,99.37
18,0.016641,99.496,0.018774,99.41
19,0.015994,99.52,0.017492,99.48
20,0.016094,99.472,0.017463,99.47
