epoch,train_loss,train_acc,val_loss,val_acc
1,0.259381,92.508,0.072156,97.76
2,0.07464,97.782,0.124992,95.66
3,0.064409,97.994,0.043267,98.69
4,0.059707,98.116,0.037745,98.8
5,0.055234,98.232,0.069542,97.7
6,0.053134,98.292,0.069401,97.62
7,0.051836,98.386,0.039441,98.67
8,0.037791,98.786,0.036342,98.79
9,0.036078,98.858,0.03764,98.81
10,0.035024,98.902,0.029274,99.0
11,0.034429,98.922,0.029852,99.0
12,0.034619,98.928,0.028227,99.11
13,0.035812,98.91,0.033125,98.86
14,0.0358,98.866,0.02445,99.21
15,0.03372,98.964,0.026978,99.17
16,0.035029,98.904,0.039648,98.82
17,0.032808,98.926,0.040314,98.68
18,0.02444,99.212,0.020298,99.31
19,0.022542,99.288,0.019267,99.42
20,0.023543,99.254,0.019637,99.32
