epoch,train_loss,train_acc,val_loss,val_acc
1,0.64035,81.668,0.16683,95.28
2,0.099536,97.094,0.148714,95.0
3,0.068879,97.954,0.070196,97.75
4,0.054582,98.258,0.046233,98.56
5,0.044926,98.638,0.049896,98.27
6,0.042495,98.704,0.032094,98.99
7,0.03858,98.788,0.054318,98.27
8,0.034193,98.916,0.028826,98.92
9,0.033569,98.944,0.023558,99.27
10,0.032307,99.012,0.023792,99.17
11,0.028034,99.16,0.025602,99.24
12,0.026348,99.16,0.024068,99.23
13,0.024307,99.238,0.020993,99.38
14,0.02326,99.274,0.01948,99.41
15,0.02179,99.316,0.019676,99.37
16,0.019282,99.432,0.020001,99.39
17,0.019025,99.42,0.01822,99.37
18,0.017005,99.492,0.017297,99.48
19,0.016267,99.516,0.017939,99.46
20,0.015591,99.514,0.017555,99.44
