epoch,train_loss,train_acc,val_loss,val_acc
1,0.500267,88.108,0.119973,96.76
2,0.099278,97.236,0.141191,95.62
3,0.077947,97.66,0.043399,98.75
4,0.067556,98.016,0.048116,98.54
5,0.059346,98.112,0.03995,98.72
6,0.052318,98.414,0.030717,99.02
7,0.049842,98.436,0.02737,99.12
8,0.046971,98.552,0.027364,99.17
9,0.042567,98.658,0.035336,98.87
10,0.04077,98.744,0.028241,99.14
11,0.035888,98.82,0.029369,99.01
12,0.033745,98.952,0.023136,99.2
13,0.03003,99.044,0.024744,99.19
14,0.027994,99.118,0.022311,99.34
15,0.024287,99.278,0.020182,99.35
16,0.022968,99.24,0.017371,99.5
17,0.020124,99.414,0.015964,99.48
18,0.01722,99.478,0.016865,99.49
19,0.016767,99.496,0.017171,99.44
20,0.016548,99.496,0.016276,99.47
