epoch,train_loss,train_acc,val_loss,val_acc
1,0.24473,93.858,0.052736,98.4
2,0.074383,97.772,0.046191,98.52
3,0.060264,98.154,0.054594,98.29
4,0.052365,98.38,0.032283,98.94
5,0.04759,98.448,0.032039,98.83
6,0.032786,98.994,0.020092,99.33
7,0.032121,98.986,0.027849,99.04
8,0.030188,99.062,0.025612,99.11
9,0.029327,99.1,0.032589,98.91
10,0.027985,99.052,0.025085,99.19
11,0.023259,99.274,0.020261,99.29
12,0.02114,99.32,0.017446,99.37
13,0.021097,99.328,0.018191,99.46
14,0.020286,99.374,0.017428,99.43
15,0.020047,99.374,0.018615,99.39
16,0.017286,99.474,0.018712,99.32
17,0.017321,99.486,0.015842,99.47
18,0.017144,99.468,0.019017,99.41
19,0.016804,99.482,0.018956,99.39
20,0.015688,99.476,0.018617,99.45
