epoch,train_loss,train_acc,val_loss,val_acc
1,0.291855,93.38,0.065769,98.02
2,0.073557,97.85,0.059442,98.21
3,0.05653,98.28,0.042712,98.51
4,0.049835,98.448,0.034309,98.99
5,0.042279,98.622,0.034159,98.9
6,0.032129,99.0,0.022757,99.29
7,0.030004,99.038,0.021139,99.28
8,0.030564,99.068,0.021122,99.3
9,0.028056,99.126,0.024096,99.27
10,0.028315,99.092,0.025226,99.14
11,0.021037,99.368,0.019034,99.3
12,0.020036,99.346,0.023345,99.19
13,0.020801,99.318,0.018967,99.36
14,0.021061,99.344,0.018639,99.37
15,0.019601,99.35,0.019716,99.37
16,0.017015,99.46,0.01704,99.43
17,0.016599,99.484,0.016809,99.43
18,0.015615,99.47,0.017771,99.34
19,0.015267,99.508,0.016417,99.48
20,0.015204,99.512,0.016726,99.46
