epoch,train_loss,train_acc,val_loss,val_acc
1,0.260209,92.256,0.083002,97.2
2,0.078099,97.562,0.058542,98.03
3,0.067124,97.94,0.076704,97.49
4,0.060575,98.098,0.084951,97.46
5,0.055392,98.252,0.08247,97.28
6,0.039853,98.704,0.02998,99.01
7,0.037685,98.778,0.028382,99.11
8,0.037815,98.754,0.044068,98.56
9,0.035771,98.81,0.026863,99.15
10,0.03495,98.912,0.037053,98.72
11,0.034381,98.89,0.043655,98.49
12,0.034279,98.924,0.081082,97.36
13,0.0267,99.172,0.023231,99.22
14,0.024945,99.226,0.029867,99.06
15,0.023325,99.23,0.024088,99.15
16,0.024446,99.238,0.022086,99.22
17,0.020006,99.366,0.017031,99.45
18,0.019055,99.396,0.018896,99.36
19,0.019299,99.426,0.024954,99.19
20,0.018499,99.398,0.019837,99.42
