epoch,train_loss,train_acc,val_loss,val_acc
1,0.2193,93.482,0.091943,96.95
2,0.080798,97.428,0.058545,98.11
3,0.071015,97.734,0.064991,97.86
4,0.06617,97.912,0.056113,98.3
5,0.061923,98.04,0.072597,97.75
6,0.062735,98.04,0.041619,98.75
7,0.059364,98.15,0.048429,98.46
8,0.057581,98.2,0.049868,98.39
9,0.058771,98.148,0.06209,98.0
10,0.040625,98.696,0.032706,98.96
11,0.041021,98.754,0.031182,99.05
12,0.040391,98.79,0.026662,99.19
13,0.040619,98.764,0.024406,99.21
14,0.040395,98.722,0.037152,98.81
15,0.040842,98.7,0.042062,98.83
16,0.038619,98.792,0.036884,98.89
17,0.031258,98.996,0.027868,99.07
18,0.029301,99.116,0.025596,99.2
19,0.028792,99.072,0.027824,99.14
20,0.024759,99.196,0.024738,99.2
