epoch,train_loss,train_acc,val_loss,val_acc
1,0.297714,90.982,0.067538,97.95
2,0.086199,97.358,0.066579,97.95
3,0.066915,97.934,0.040313,98.73
4,0.056524,98.216,0.032107,98.99
5,0.052465,98.308,0.02993,98.98
6,0.047199,98.528,0.029607,99.11
7,0.042456,98.648,0.028341,99.15
8,0.037529,98.796,0.023725,99.27
9,0.034959,98.862,0.023167,99.3
10,0.033538,98.928,0.024877,99.19
11,0.031672,98.99,0.022489,99.35
12,0.030614,99.08,0.024451,99.21
13,0.028353,99.092,0.028175,99.09
14,0.026154,99.152,0.021296,99.37
15,0.024788,99.22,0.018675,99.39
16,0.022457,99.29,0.017492,99.47
17,0.019179,99.362,0.018563,99.42
18,0.017629,99.434,0.017404,99.44
19,0.018328,99.402,0.017177,99.45
20,0.016845,99.48,0.016903,99.49
