epoch,train_loss,train_acc,val_loss,val_acc
1,0.450214,86.974,0.108194,96.74
2,0.079527,97.59,0.045114,98.62
3,0.061692,98.056,0.052253,98.22
4,0.049982,98.388,0.05332,98.38
5,0.045732,98.54,0.033503,98.78
6,0.041639,98.71,0.031014,99.01
7,0.036511,98.84,0.026357,99.16
8,0.033616,98.92,0.024963,99.22
9,0.033499,98.96,0.026119,99.13
10,0.029949,99.082,0.019552,99.3
11,0.028003,99.076,0.017982,99.44
12,0.025365,99.206,0.018826,99.42
13,0.024514,99.222,0.020246,99.37
14,0.022304,99.302,0.020858,99.36
15,0.020905,99.292,0.019345,99.41
16,0.019921,99.366,0.017016,99.51
17,0.018131,99.418,0.016313,99.43
18,0.016953,99.458,0.015509,99.53
19,0.014979,99.49,0.016739,99.49
20,0.01512,99.516,0.015109,99.52
