epoch,train_loss,train_acc,val_loss,val_acc
1,0.387397,90.99,0.113145,96.97
2,0.069944,98.038,0.048904,98.62
3,0.051485,98.422,0.048918,98.5
4,0.043918,98.638,0.041719,98.64
5,0.038461,98.802,0.039399,98.73
6,0.029363,99.092,0.025793,99.03
7,0.026144,99.192,0.03463,98.83
8,0.027552,99.14,0.030741,99.03
9,0.024973,99.262,0.031419,99.08
10,0.023982,99.25,0.026646,99.05
11,0.0182,99.42,0.020634,99.26
12,0.018352,99.424,0.021036,99.33
13,0.017797,99.448,0.020793,99.3
14,0.017711,99.444,0.023612,99.18
15,0.018121,99.434,0.022647,99.25
16,0.01561,99.522,0.021646,99.3
17,0.015237,99.498,0.023422,99.21
18,0.014916,99.522,0.022902,99.25
19,0.014711,99.562,0.020541,99.3
20,0.013841,99.558,0.020359,99.3
