epoch,train_loss,train_acc,val_loss,val_acc
1,0.418015,90.796,0.065841,98.23
2,0.077309,97.956,0.064628,98.03
3,0.05985,98.252,0.045736,98.7
4,0.051683,98.426,0.038435,98.8
5,0.046333,98.554,0.037953,98.8
6,0.033251,99.014,0.02775,99.11
7,0.032132,99.024,0.023547,99.31
8,0.029028,99.082,0.028387,99.08
9,0.028825,99.07,0.027357,99.14
10,0.02751,99.146,0.024771,99.16
11,0.022298,99.304,0.021039,99.38
12,0.021756,99.318,0.021878,99.37
13,0.022334,99.264,0.022073,99.34
14,0.02175,99.292,0.020575,99.36
15,0.020417,99.388,0.029294,99.06
16,0.018319,99.416,0.01966,99.45
17,0.017572,99.438,0.019237,99.45
18,0.018164,99.402,0.021296,99.41
19,0.017095,99.448,0.020886,99.41
20,0.016942,99.456,0.021891,99.33
