epoch,train_loss,train_acc,val_loss,val_acc
1,0.381169,91.432,0.065135,98.37
2,0.064578,98.282,0.067323,97.85
3,0.047228,98.564,0.035155,98.81
4,0.041989,98.796,0.028994,99.08
5,0.036055,98.912,0.051226,98.32
6,0.027479,99.128,0.027005,99.0
7,0.024734,99.2,0.044474,98.55
8,0.024908,99.196,0.024454,99.23
9,0.023437,99.202,0.023232,99.26
10,0.023162,99.29,0.022403,99.32
11,0.017906,99.392,0.022077,99.33
12,0.017948,99.426,0.024067,99.19
13,0.016498,99.462,0.021862,99.3
14,0.015704,99.492,0.020089,99.37
15,0.01628,99.484,0.023301,99.3
16,0.014461,99.542,0.022168,99.3
17,0.013321,99.572,0.021863,99.29
18,0.013841,99.538,0.021662,99.33
19,0.014019,99.53,0.020795,99.32
20,0.012272,99.604,0.02072,99.36
